"YEAR","ICD10_COL_NUM","ADMIT_TYPE","DISEASE","ADMIT_POA_Y_COUNT","TOTAL_RECORDS_PER_DISEASE","PERCENT_RECORD_PER_COLUMN"
"2018_Q3_4","0","PRIMARY_ADMIT_POA_Y","COV",0,0,NA
"2018_Q3_4","0","PRIMARY_ADMIT_POA_Y","FLU",1214,2352,51.6156462585034
"2018_Q3_4","0","PRIMARY_ADMIT_POA_Y","ILI",566,1601,35.3529044347283
"2018_Q3_4","0","PRIMARY_ADMIT_POA_Y","NOT_RESP",4459,26734,16.6791351836613
"2018_Q3_4","0","PRIMARY_ADMIT_POA_Y","RSV",2752,5277,52.1508432821679
"2018_Q3_4","1","SECONDARY_ADMIT_POA_Y_1","COV",0,0,NA
"2018_Q3_4","1","SECONDARY_ADMIT_POA_Y_1","FLU",538,2352,22.8741496598639
"2018_Q3_4","1","SECONDARY_ADMIT_POA_Y_1","ILI",610,1601,38.1011867582761
"2018_Q3_4","1","SECONDARY_ADMIT_POA_Y_1","NOT_RESP",6191,26734,23.1577766140495
"2018_Q3_4","1","SECONDARY_ADMIT_POA_Y_1","RSV",1652,5277,31.3056660981618
"2018_Q3_4","2","SECONDARY_ADMIT_POA_Y_2","COV",0,0,NA
"2018_Q3_4","2","SECONDARY_ADMIT_POA_Y_2","FLU",316,2352,13.4353741496599
"2018_Q3_4","2","SECONDARY_ADMIT_POA_Y_2","ILI",271,1601,16.9269206745784
"2018_Q3_4","2","SECONDARY_ADMIT_POA_Y_2","NOT_RESP",7818,26734,29.2436597591083
"2018_Q3_4","2","SECONDARY_ADMIT_POA_Y_2","RSV",586,5277,11.1047943907523
"2018_Q3_4","3","SECONDARY_ADMIT_POA_Y_3","COV",0,0,NA
"2018_Q3_4","3","SECONDARY_ADMIT_POA_Y_3","FLU",284,2352,12.0748299319728
"2018_Q3_4","3","SECONDARY_ADMIT_POA_Y_3","ILI",154,1601,9.61898813241724
"2018_Q3_4","3","SECONDARY_ADMIT_POA_Y_3","NOT_RESP",8266,26734,30.919428443181
"2018_Q3_4","3","SECONDARY_ADMIT_POA_Y_3","RSV",287,5277,5.43869622891795
"2019","0","PRIMARY_ADMIT_POA_Y","COV",0,0,NA
"2019","0","PRIMARY_ADMIT_POA_Y","FLU",8450,16681,50.6564354654997
"2019","0","PRIMARY_ADMIT_POA_Y","ILI",1725,4961,34.7712154807499
"2019","0","PRIMARY_ADMIT_POA_Y","NOT_RESP",16882,99141,17.0282728639009
"2019","0","PRIMARY_ADMIT_POA_Y","RSV",6311,12689,49.7359918039247
"2019","1","SECONDARY_ADMIT_POA_Y_1","COV",0,0,NA
"2019","1","SECONDARY_ADMIT_POA_Y_1","FLU",3927,16681,23.5417540914813
"2019","1","SECONDARY_ADMIT_POA_Y_1","ILI",1780,4961,35.8798629308607
"2019","1","SECONDARY_ADMIT_POA_Y_1","NOT_RESP",23708,99141,23.9134162455493
"2019","1","SECONDARY_ADMIT_POA_Y_1","RSV",3953,12689,31.1529671368902
"2019","2","SECONDARY_ADMIT_POA_Y_2","COV",0,0,NA
"2019","2","SECONDARY_ADMIT_POA_Y_2","FLU",2482,16681,14.8792038846592
"2019","2","SECONDARY_ADMIT_POA_Y_2","ILI",907,4961,18.2826043136464
"2019","2","SECONDARY_ADMIT_POA_Y_2","NOT_RESP",28320,99141,28.565376584864
"2019","2","SECONDARY_ADMIT_POA_Y_2","RSV",1659,12689,13.0743163369848
"2019","3","SECONDARY_ADMIT_POA_Y_3","COV",0,0,NA
"2019","3","SECONDARY_ADMIT_POA_Y_3","FLU",1822,16681,10.9226065583598
"2019","3","SECONDARY_ADMIT_POA_Y_3","ILI",549,4961,11.066317274743
"2019","3","SECONDARY_ADMIT_POA_Y_3","NOT_RESP",30231,99141,30.4929343056858
"2019","3","SECONDARY_ADMIT_POA_Y_3","RSV",766,12689,6.03672472220033
"2020","0","PRIMARY_ADMIT_POA_Y","COV",105908,168543,62.8373768118522
"2020","0","PRIMARY_ADMIT_POA_Y","FLU",6058,13034,46.4784410004603
"2020","0","PRIMARY_ADMIT_POA_Y","ILI",2168,127970,1.69414706571853
"2020","0","PRIMARY_ADMIT_POA_Y","NOT_RESP",80596,472188,17.0686252086034
"2020","0","PRIMARY_ADMIT_POA_Y","RSV",1488,3137,47.4338540006376
"2020","1","SECONDARY_ADMIT_POA_Y_1","COV",46171,168543,27.3941961398575
"2020","1","SECONDARY_ADMIT_POA_Y_1","FLU",3316,13034,25.4411539051711
"2020","1","SECONDARY_ADMIT_POA_Y_1","ILI",70595,127970,55.1652731108854
"2020","1","SECONDARY_ADMIT_POA_Y_1","NOT_RESP",75210,472188,15.9279778393352
"2020","1","SECONDARY_ADMIT_POA_Y_1","RSV",926,3137,29.5186483901817
"2020","2","SECONDARY_ADMIT_POA_Y_2","COV",12101,168543,7.17977014767745
"2020","2","SECONDARY_ADMIT_POA_Y_2","FLU",2075,13034,15.9199017953046
"2020","2","SECONDARY_ADMIT_POA_Y_2","ILI",40036,127970,31.2854575291084
"2020","2","SECONDARY_ADMIT_POA_Y_2","NOT_RESP",141579,472188,29.983608223843
"2020","2","SECONDARY_ADMIT_POA_Y_2","RSV",427,3137,13.6117309531399
"2020","3","SECONDARY_ADMIT_POA_Y_3","COV",4363,168543,2.5886569006129
"2020","3","SECONDARY_ADMIT_POA_Y_3","FLU",1585,13034,12.160503299064
"2020","3","SECONDARY_ADMIT_POA_Y_3","ILI",15171,127970,11.8551222942877
"2020","3","SECONDARY_ADMIT_POA_Y_3","NOT_RESP",174803,472188,37.0197887282184
"2020","3","SECONDARY_ADMIT_POA_Y_3","RSV",296,3137,9.4357666560408
"2021","0","PRIMARY_ADMIT_POA_Y","COV",150281,422858,35.5393536364453
"2021","0","PRIMARY_ADMIT_POA_Y","FLU",749,2589,28.930088837389
"2021","0","PRIMARY_ADMIT_POA_Y","ILI",1738,7350,23.6462585034014
"2021","0","PRIMARY_ADMIT_POA_Y","NOT_RESP",110162,628839,17.5183154988797
"2021","0","PRIMARY_ADMIT_POA_Y","RSV",5196,10868,47.8100846521899
"2021","1","SECONDARY_ADMIT_POA_Y_1","COV",167806,422858,39.6837709112752
"2021","1","SECONDARY_ADMIT_POA_Y_1","FLU",699,2589,26.9988412514484
"2021","1","SECONDARY_ADMIT_POA_Y_1","ILI",3046,7350,41.4421768707483
"2021","1","SECONDARY_ADMIT_POA_Y_1","NOT_RESP",93410,628839,14.8543585878102
"2021","1","SECONDARY_ADMIT_POA_Y_1","RSV",3165,10868,29.1221935958778
"2021","2","SECONDARY_ADMIT_POA_Y_2","COV",77881,422858,18.4177667207431
"2021","2","SECONDARY_ADMIT_POA_Y_2","FLU",521,2589,20.1235998455002
"2021","2","SECONDARY_ADMIT_POA_Y_2","ILI",1631,7350,22.1904761904762
"2021","2","SECONDARY_ADMIT_POA_Y_2","NOT_RESP",186409,628839,29.643358633927
"2021","2","SECONDARY_ADMIT_POA_Y_2","RSV",1684,10868,15.495031284505
"2021","3","SECONDARY_ADMIT_POA_Y_3","COV",26890,422858,6.35910873153635
"2021","3","SECONDARY_ADMIT_POA_Y_3","FLU",620,2589,23.9474700656624
"2021","3","SECONDARY_ADMIT_POA_Y_3","ILI",935,7350,12.7210884353742
"2021","3","SECONDARY_ADMIT_POA_Y_3","NOT_RESP",238858,628839,37.9839672793831
"2021","3","SECONDARY_ADMIT_POA_Y_3","RSV",823,10868,7.57269046742731
"2022","0","PRIMARY_ADMIT_POA_Y","COV",61777,204045,30.2761645715406
"2022","0","PRIMARY_ADMIT_POA_Y","FLU",7295,15296,47.6922071129707
"2022","0","PRIMARY_ADMIT_POA_Y","ILI",2020,5582,36.1877463274812
"2022","0","PRIMARY_ADMIT_POA_Y","NOT_RESP",108287,503381,21.5119362868285
"2022","0","PRIMARY_ADMIT_POA_Y","RSV",6351,14616,43.452380952381
"2022","1","SECONDARY_ADMIT_POA_Y_1","COV",87499,204045,42.8822073562204
"2022","1","SECONDARY_ADMIT_POA_Y_1","FLU",3635,15296,23.7643828451883
"2022","1","SECONDARY_ADMIT_POA_Y_1","ILI",1920,5582,34.3962737370118
"2022","1","SECONDARY_ADMIT_POA_Y_1","NOT_RESP",88211,503381,17.5237047087594
"2022","1","SECONDARY_ADMIT_POA_Y_1","RSV",4465,14616,30.5487137383689
"2022","2","SECONDARY_ADMIT_POA_Y_2","COV",38553,204045,18.894361537896
"2022","2","SECONDARY_ADMIT_POA_Y_2","FLU",2282,15296,14.9189330543933
"2022","2","SECONDARY_ADMIT_POA_Y_2","ILI",967,5582,17.3235399498388
"2022","2","SECONDARY_ADMIT_POA_Y_2","NOT_RESP",141478,503381,28.1055502690805
"2022","2","SECONDARY_ADMIT_POA_Y_2","RSV",2450,14616,16.7624521072797
"2022","3","SECONDARY_ADMIT_POA_Y_3","COV",16216,204045,7.94726653434291
"2022","3","SECONDARY_ADMIT_POA_Y_3","FLU",2084,15296,13.6244769874477
"2022","3","SECONDARY_ADMIT_POA_Y_3","ILI",675,5582,12.0924399856682
"2022","3","SECONDARY_ADMIT_POA_Y_3","NOT_RESP",165405,503381,32.8588087353317
"2022","3","SECONDARY_ADMIT_POA_Y_3","RSV",1350,14616,9.23645320197044
